dataset_id,run_id,algo,ami,n_clusters,dbcv_status,noise_fraction,status,dbcv,s_dbw
img_fashion_mnist_2k,7203310ff7ba,AgglomerativeClustering,0.4573884820560826,5,ok,0.0,ok,-0.5214916933732261,-0.9759937216262786
img_fashion_mnist_2k,a399ab5a112a,AgglomerativeClustering,0.5176462594708774,7,ok,0.0,ok,-0.5137945538448637,-0.9705876743344818
img_fashion_mnist_2k,4d00158c440c,AgglomerativeClustering,0.5264844998741274,10,ok,0.0,ok,-0.5014188443520041,-0.962130600904027
img_fashion_mnist_2k,f028e3896d9e,AgglomerativeClustering,0.5522094560763982,15,ok,0.0,ok,-0.48164125176797357,-0.9113296578885266
img_fashion_mnist_2k,bc0e2be21bfb,AgglomerativeClustering,0.5319798881805112,20,ok,0.0,ok,-0.44456201868058254,-0.8927586939085866
img_fashion_mnist_2k,ae16e9272ff8,AgglomerativeClustering,0.0287999989957834,2,ok,0.0,ok,-0.5072470009614687,-1.1878347158062068
img_fashion_mnist_2k,803c0d3403ff,AgglomerativeClustering,0.0307693837799662,3,ok,0.0,ok,-0.5062206727442755,-1.1779988800872199
img_fashion_mnist_2k,579a8bd776f9,AgglomerativeClustering,0.0386208088581196,5,ok,0.0,ok,-0.5050689673336369,-1.1275006792275724
img_fashion_mnist_2k,ccd2d07c7a4a,AgglomerativeClustering,0.0595014528066998,7,ok,0.0,ok,-0.7076681904327022,-1.0898259321617036
img_fashion_mnist_2k,92f60358ba37,AgglomerativeClustering,0.0704882328013281,10,error,0.0,ok,,-0.9620369339430023
img_fashion_mnist_2k,646357d2ae16,AgglomerativeClustering,0.1263020407118923,15,error,0.0,ok,,-0.8896421024495149
img_fashion_mnist_2k,5773d7049286,AgglomerativeClustering,0.1378313282802407,20,error,0.0,ok,,-0.9022826791660805
img_fashion_mnist_2k,a81f368f51bb,AgglomerativeClustering,5.9794091949235014e-05,2,error,0.0,ok,,-0.0004996274774764202
img_fashion_mnist_2k,70969dd2d720,AgglomerativeClustering,4.6152138614702745e-05,3,error,0.0,ok,,-0.000499276613328525
img_fashion_mnist_2k,34b50b92b183,AgglomerativeClustering,0.0001022469968255,5,error,0.0,ok,,-0.0004986676104804079
img_fashion_mnist_2k,48d260f98b0d,AgglomerativeClustering,0.0006105437115691,7,error,0.0,ok,,-0.14782570017407998
