gid,src,algo,nmi,n_clusters,entropy,gini,cluster_size_min,cluster_size_max,cluster_size_mean,cluster_size_std,size_ratio,imbalance,graph_n_nodes,graph_n_edges,graph_density,graph_avg_degree,graph_degree_std,within_edge_fraction,modularity,conductance_mean,conductance_min,conductance_max,cluster_density_mean,cluster_density_std,normalized_cut,coverage
dc_0_s1,dcsbm,Louv,0.7805825997782467,7,1.6840612774572337,0.7806944444444445,8.0,79.0,34.285714285714285,25.081092968405418,0.10126582278480885,0.7315318782451367,240,1503,0.05240585774058577,12.525,8.122974106405445,0.7604790419161672,0.5238493959076745,0.42283048623110914,0.0639593908629441,0.6744186046511471,0.24066384842761904,0.04950368936397295,0.2395209580838322,0.7604790419161672
dc_0_s1,dcsbm,Leid,0.7953897273760158,6,1.6638379941386263,0.7931597222222222,14.0,66.0,40.0,19.638397762207248,0.21212121212120894,0.4909599440551689,240,1503,0.05240585774058577,12.525,8.122974106405445,0.7312042581503655,0.5115262931666053,0.37746385071250343,0.13225058004640355,0.6451612903225755,0.20988664046634983,0.03716407290706754,0.2687957418496339,0.7312042581503655
dc_0_s1,dcsbm,Louv,0.5194586318259342,22,3.045030520534727,0.9505902777777777,5.0,17.0,10.909090909090908,3.217976367350519,0.2941176470588063,0.2949811670071039,240,1503,0.05240585774058577,12.525,8.122974106405445,0.3339986693280104,0.28238355845417173,0.6776927566496366,0.6068376068376017,0.7560975609756005,0.42110259022022417,0.09206759076114482,0.666001330671989,0.3339986693280104
dc_0_s1,dcsbm,Leid,0.5296184337070584,20,2.950751159859591,0.9456597222222222,6.0,18.0,12.0,3.5355339059327378,0.33333333333331483,0.2946278254943703,240,1503,0.05240585774058577,12.525,8.122974106405445,0.35129740518962055,0.29538107196562735,0.6638824775973351,0.585062240663898,0.772727272727264,0.3964521344668308,0.07248650517009675,0.6487025948103788,0.35129740518962055
dc_0_s1,dcsbm,Louv,0.4289945942811578,47,3.793245753752787,0.9763541666666666,2.0,9.0,5.1063829787234045,1.7039883446958235,0.22222222222219754,0.33369771750286675,240,1503,0.05240585774058577,12.525,8.122974106405445,0.2222222222222221,0.19905011445284185,0.7874000097077871,0.6483516483516413,0.9230769230768876,0.7162951705503419,0.20838838957059522,0.7777777777777773,0.2222222222222221
dc_0_s1,dcsbm,Leid,0.4534186893550591,42,3.701310007062762,0.9744444444444444,3.0,10.0,5.714285714285714,1.5474358865973257,0.29999999999997,0.27080128015448457,240,1503,0.05240585774058577,12.525,8.122974106405445,0.23885562208915487,0.2132441703419508,0.7687932382147297,0.6399999999999871,0.8846153846153676,0.6499811035524574,0.15523499681721367,0.7611443779108445,0.23885562208915487
dc_0_s1,dcsbm,GMod,0.9795873992225648,3,1.0985602039753548,0.6666319444444444,79.0,81.0,80.0,0.816496580927726,0.9753086419752967,0.010206207261596448,240,1503,0.05240585774058577,12.525,8.122974106405445,0.9407850964737187,0.6072943932494292,0.05929988691912295,0.05426356589147282,0.06422018348623847,0.14912656625033555,0.0011611400014417564,0.059214903526280734,0.9407850964737187
dc_1_s1,dcsbm,Louv,0.39727636203792804,41,2.273695096836046,0.7802777777777778,1.0,82.0,5.853658536585366,16.56555488253652,0.012195121951219363,2.8299489590995055,240,1182,0.041213389121338914,9.85,9.243601390511529,0.5329949238578676,0.264102899957341,0.8763851784689494,0.3111638954869355,0.9999999999999286,0.3858673778163214,0.45223471511029223,0.4670050761421316,0.5329949238578676
dc_1_s1,dcsbm,Leid,0.0,1,-1.000088900581841e-12,0.0,240.0,240.0,240.0,0.0,0.9999999999999959,0.0,240,1182,0.041213389121338914,9.85,9.243601390511529,0.9999999999999992,0.0,0.0,0.0,0.0,0.041213389121338914,0.0,0.0,0.9999999999999992
dc_1_s1,dcsbm,Louv,0.42865430070792093,47,2.5146568608753883,0.8233333333333333,1.0,74.0,5.1063829787234045,13.799836635716972,0.013513513513513332,2.7024680078273775,240,1182,0.041213389121338914,9.85,9.243601390511529,0.49746192893400976,0.28356251843071906,0.8851430052479183,0.3360323886639672,0.9999999999999286,0.3688463530330552,0.4475004157487987,0.5025380710659895,0.49746192893400976
