dataset_id,algo,hyperparams_json,run_id,ami,silhouette,calinski_harabasz,davies_bouldin,n_clusters_found,noise_fraction,runtime_sec,ch_adjusted,ari,nmi,v_measure
openml_1050,DBSCAN,"{""eps"": 5.0, ""min_samples"": 5}",3d795ce47578,5.186700637062889e-05,0.4756817519664764,32.40575830439198,0.4424691892147973,2,0.0307101727447216,0.0551939010620117,0.534728262235353,0.012218541309892519,0.0028528189696892794,0.002852818969689279
openml_1050,DBSCAN,"{""eps"": 5.0, ""min_samples"": 10}",639f74dd0e43,0.0005962942518775,,,,1,0.037747920665387,0.069375991821289,,0.024299518407332722,0.0019436232001661463,0.001943623200166146
openml_1050,DBSCAN,"{""eps"": 5.0, ""min_samples"": 20}",9c3ccb4fd98f,0.001413230397397,,,,1,0.0396673064619321,0.0752379894256591,,0.02962395011286636,0.0027399386732242324,0.0027399386732242324
openml_1050,HDBSCAN,"{""min_cluster_size"": 5, ""min_samples"": 1}",5647bbf0428d,0.0235260037188095,0.2810419797897339,122.00678319963907,1.1516211442065398,71,0.5367882277671145,0.0752837657928466,0.9670685913620096,-0.0619651383482316,0.04072930219038359,0.04072930219038359
openml_1050,HDBSCAN,"{""min_cluster_size"": 5, ""min_samples"": 5}",389d4ccb0588,0.0373131568093493,0.3103863894939422,188.0920096474225,0.7893070842706952,9,0.4126679462571977,0.0670919418334961,0.9547071103188076,-0.031102463221988313,0.040660113256540426,0.040660113256540426
openml_1050,HDBSCAN,"{""min_cluster_size"": 5, ""min_samples"": 10}",e34ce5984b64,0.0361024146127808,0.3630736768245697,244.00673475034253,0.7628996080897794,6,0.4094689699296225,0.0509610176086425,0.9558183407261932,-0.028392410375937358,0.03840598234390747,0.03840598234390748
openml_1050,HDBSCAN,"{""min_cluster_size"": 10, ""min_samples"": 1}",63470ebdd53e,0.0444700670366669,0.2635947465896606,207.17554481441869,1.1451808943793704,8,0.2962252079334613,0.1035089492797851,0.9133064130827588,-0.002693287874756373,0.04727192471325554,0.04727192471325554
openml_1050,HDBSCAN,"{""min_cluster_size"": 10, ""min_samples"": 5}",46814f50e13d,0.0205347633288242,0.3574978113174438,147.5503969960825,0.5977360027270175,2,0.0703774792066538,0.0657980442047119,0.832241410187531,0.050983043156960436,0.022343719904692465,0.022343719904692465
openml_1050,HDBSCAN,"{""min_cluster_size"": 10, ""min_samples"": 10}",e597041814f5,0.0297287884025571,0.3642437160015106,148.26283561715496,0.5441350357182773,2,0.0850927703134996,0.0492010116577148,0.8798531795033365,0.08434983385886988,0.03144521852938988,0.031445218529389876
openml_1050,HDBSCAN,"{""min_cluster_size"": 20, ""min_samples"": 1}",024a1a8c54d1,0.0387996282176701,0.3175630271434784,378.28839455980415,1.1335434042592851,4,0.2450415866922584,0.0903244018554687,0.9453480335367296,0.0030645725368900934,0.04023238816457727,0.04023238816457727
