dataset_id,algo,hyperparams_json,run_id,ami,silhouette,calinski_harabasz,davies_bouldin,n_clusters_found,noise_fraction,runtime_sec
synth_blobs_well_separated,SpectralClustering,"{""n_clusters"": 3, ""affinity"": ""nearest_neighbors""}",e3ae029f4d54,0.8564272624229416,0.5854555089575482,326.2530144261905,0.7972682814806857,3,0.0,0
synth_blobs_well_separated,SpectralClustering,"{""n_clusters"": 5, ""affinity"": ""nearest_neighbors""}",98d2a79e4c00,0.9420598780919085,0.757869362248331,20287.234963571605,0.5641074351660172,5,0.0,0
synth_blobs_well_separated,SpectralClustering,"{""n_clusters"": 7, ""affinity"": ""nearest_neighbors""}",0481ef8f35a2,0.8434252847478504,0.43432016706818694,16359.903385372438,1.1430101930568466,7,0.0,0
synth_blobs_well_separated,SpectralClustering,"{""n_clusters"": 10, ""affinity"": ""nearest_neighbors""}",9a585386bc6d,0.7694435330726095,0.24507894438963643,13235.241804334286,1.3457686851340793,10,0.0,0
synth_blobs_well_separated,SpectralClustering,"{""n_clusters"": 15, ""affinity"": ""nearest_neighbors""}",971471268792,0.6858157140090609,0.195733373015884,9976.461537896792,1.408085873985195,15,0.0,0
synth_blobs_varying_std,SpectralClustering,"{""n_clusters"": 2, ""affinity"": ""nearest_neighbors""}",c5dfd3221b79,0.4842895650822739,0.5285576447387229,1370.9109531323024,0.7891605971857731,2,0.0,0
synth_blobs_varying_std,SpectralClustering,"{""n_clusters"": 3, ""affinity"": ""nearest_neighbors""}",e3ae029f4d54,0.6384861374798969,0.3221643927151409,419.00953580048537,0.7933242322980331,3,0.0,0
synth_blobs_varying_std,SpectralClustering,"{""n_clusters"": 5, ""affinity"": ""nearest_neighbors""}",98d2a79e4c00,0.7467647009858754,0.48430547708780575,1507.3390740018615,0.7102584921945112,5,0.0,0
synth_blobs_varying_std,SpectralClustering,"{""n_clusters"": 7, ""affinity"": ""nearest_neighbors""}",0481ef8f35a2,0.726638804667966,0.42284746027653886,1686.7004824261146,0.9806761712878347,7,0.0,0
synth_blobs_varying_std,SpectralClustering,"{""n_clusters"": 10, ""affinity"": ""nearest_neighbors""}",9a585386bc6d,0.665411604461745,0.39677117247178273,1490.3993085045734,0.911323717327346,10,0.0,0
