dataset_id,mean_regret,std_regret,n_runs,best_ami,worst_ami,ami_range,mean_ami,n_algos
openml_1462,0.1639124325125796,0.0,91,0.6947965429475638,-0.0002085341585844,0.6950050771061481,0.2112203253247985,6
openml_40983,0.1613663947987422,0.007065864681370604,79,0.1704581696725761,-0.0009115591866736,0.1713697288592497,0.021215407994948563,5
openml_41026,0.16029689276174475,0.0,79,0.523278992294045,-0.0001295691136489,0.5234085614076939,0.10089818409183791,5
openml_40496,0.14171339060635207,0.0,73,0.5645872747076498,0.0,0.5645872747076498,0.3878994814311244,5
synth_spirals_2arms_n0.10,0.13600518478203827,0.001348907405491137,79,0.1745885810857469,0.0,0.1745885810857469,0.05521005109115591,5
synth_moons_noise0.30,0.1320775479229373,0.0,91,0.3891776020152315,-0.00087105247406,0.3900486544892915,0.18160360447546472,6
openml_54,0.1282789602656192,0.0,91,0.2909287039603864,0.0,0.2909287039603864,0.12406914153748348,6
openml_1478,0.1189766501850511,0.0,79,0.7502465221359117,0.0,0.7502465221359117,0.2462080161607819,5
openml_36,0.11884701541078335,0.0,76,0.6586920138504109,0.0,0.6586920138504109,0.3654271524881821,5
openml_188,0.11520556104768759,0.0,72,0.2428875774095344,0.0,0.2428875774095344,0.09507355711124103,5
openml_1515,0.11463538197086312,0.0,76,0.3587233466259375,-0.0019567681808688,0.36068011480680634,0.05588880069175009,5
openml_1476,0.11012962478327419,0.09699819153349641,74,0.444446601450115,-0.0001097128407916,0.4445563142909066,0.20965264700353078,5
synth_blobs_large_2d,0.10490449720797373,0.056586079474132134,79,0.9515111159746548,0.0,0.9515111159746548,0.5921501098775194,5
openml_4534,0.10160395650410792,0.005641628339215894,73,0.2198491303199696,7.979132543890789e-05,0.2197693389945307,0.0599887126613843,5
synth_ellipsoidal_d3_k8,0.1001318759717218,0.0,79,0.8720383805177845,0.0,0.8720383805177845,0.5913120574670935,5
synth_nested_rings_5,0.09037448938015119,0.09037448938015119,79,0.8648961630101389,0.0,0.8648961630101389,0.3030576105102799,5
openml_458,0.08570752881501709,0.0513224927133753,91,0.9230976670873892,-0.0007384780402716,0.9238361451276608,0.37877332504833067,6
openml_61,0.08401858365763393,0.0,79,0.8984361033676299,0.0,0.8984361033676299,0.4883268432420775,5
synth_noisy_20pct_5d,0.0829357298114568,0.0,91,0.9868531273089772,0.0,0.9868531273089772,0.6239220823275218,6
openml_6,0.08291369963046456,0.03465175798058224,24,0.4557535071865021,0.0054058883409655,0.4503476188455366,0.153207167140601,3
synth_grid_d2_k6_medoverlap,0.08201588033995622,0.0,79,0.7931449999317801,0.0,0.7931449999317801,0.4496358785555394,5
openml_1501,0.08196200372231288,0.0,74,0.6367829847083412,0.0,0.6367829847083412,0.2708715978221979,5
openml_16,0.08109452384725457,0.0,79,0.7414713532930324,0.0,0.7414713532930324,0.32191868505497606,5
img_mnist_digits_5k,0.07850657840196934,0.07850657840196934,79,0.6597338480577412,0.0,0.6597338480577412,0.22329687422161423,5
openml_41143,0.07637055957483749,0.0,67,0.2465590452156504,-0.0012034383475767,0.24776248356322708,0.04709133961594403,5
openml_181,0.07346676112187686,0.0001865574834116479,91,0.3317315248985354,0.0,0.3317315248985354,0.09122801544203067,6
openml_1480,0.07103605387234971,0.0,79,0.1221300489393531,-0.0028945705209652,0.1250246194603183,0.034176227084467645,5
synth_ellipsoidal_d3_k3,0.07092535048614801,0.02215209090508019,79,0.9808276704935346,0.0,0.9808276704935346,0.5972812241985457,5
synth_imb_many_small_d5,0.06867860769108936,0.0,79,1.0,0.0,1.0,0.6205149606225077,5
openml_1590,0.06820475191862001,0.0,20,0.0906521297033689,0.0224473777847489,0.06820475191862001,0.049732620099188565,3
synth_blobs_50d_20k,0.0629390371795776,0.0,79,1.0,0.0,1.0,0.600637237490311,5
openml_679,0.0627825949055816,0.0,77,0.099378552126659,-0.0002258825096712,0.0996044346363302,0.047677604120942255,5
openml_1466,0.06215541791035606,0.0,70,0.9739225061366492,0.0,0.9739225061366492,0.46347893093254394,5
synth_spirals_3arms_n0.05,0.0619296166094885,0.0,79,0.1103992696413114,-0.0013412224947314,0.1117404921360428,0.046982891480822575,5
synth_swiss_roll_k3,0.060856217104168886,0.0,79,0.5701348300654309,0.0,0.5701348300654309,0.22386383509988036,5
openml_38,0.0579315829001025,0.0,79,0.0798231444504133,-0.0021607139429185,0.0819838583933318,0.023911593406133705,5
openml_37,0.057834040947614,0.014030016813793199,88,0.10899856421357,0.0,0.10899856421357,0.03439337118816722,6
openml_29,0.056433478093214,0.0,79,0.1337986334038258,0.0,0.1337986334038258,0.06525215419615163,5
synth_varying_density_5d,0.05614659554878387,0.034916975127530364,79,1.0,0.0,1.0,0.7253505731157456,5
openml_40536,0.05593511349855681,0.000344311837289211,74,0.0614577989821868,-0.0002997371056912,0.061757536087878,0.007706946006930557,5
openml_1038,0.05371080543836569,0.0,79,0.1428843662482961,-0.0012009896840413,0.1440853559323374,0.029512170100812803,5
openml_40979,0.05267260084532843,0.0,69,0.786297014124576,-6.041519689036371e-05,0.7863574293214664,0.34317276613595965,5
synth_aniso_10d_6k,0.044457935566408424,0.0,79,1.0,0.0,1.0,0.6885445388918051,5
openml_40975,0.04397036157674298,0.01836173121020314,72,0.1499903321234964,-0.0003716560926898,0.1503619882161862,0.08318620000682635,5
openml_1471,0.0429180715277534,0.0,58,0.0617010125760018,-0.0001308489602717,0.0618318615362735,0.009751320082629205,4
text_20ng_politics,0.042495000795090304,0.0,79,0.2691243348725666,0.0,0.2691243348725666,0.056128786378598375,5
openml_1475,0.042340240452086536,0.01713218602383755,69,0.131384150278558,-0.0002290281266866,0.13161317840524459,0.06442159196199658,5
