dataset_id,rho_predicted,rho_Silhouette,rho_Calinski-Harabasz,rho_Davies-Bouldin (neg),rho_CH Adjusted (Jeon)
synth_circles_n0.10_f0.3,0.851830769791854,-0.15448551744573671,-0.42656493073560997,-0.3024372175716719,-0.41165308928413685
synth_nested_rings_3,0.8897023656230455,-0.23801283437883045,-0.39077068487266853,-0.16635439802933727,-0.08941166560891724
synth_noisy_20pct_5d,0.8256030718751547,0.8151268689426776,0.7433643403302002,0.5066965372814494,0.4900738953935249
synth_grid_d30_k3_medoverlap,0.9893195069983731,0.8594904157480788,0.9182257768035929,0.7743852092281327,0.8581422972351812
synth_blobs_5d_k4,0.9366764183004078,0.7135599843688942,0.7985723857526964,0.6972522544395804,0.6864187193876765
openml_18,0.8116406203200057,0.4897060260062223,0.41057196034685145,-0.009196958185458307,0.3436984399819018
synth_noisy_10pct,0.8977850233538379,0.7249120414896336,0.5759973703753302,0.49109458126879385,0.3476856790491856
synth_blobs_overlap_2d,0.8714635211675308,0.36184356164587467,0.46885969629101015,0.3164059782362616,0.24309752791011968
synth_noisy_25pct_d10,0.9078899856168932,0.7767467379113804,0.6969089190274446,0.30549460697028513,0.6552957673815819
synth_grid_d30_k10_lowoverlap,0.9965808283542394,0.8773986453633873,0.9185552422353278,0.7709435725307499,0.8343475621001388
synth_grid_d15_k10_medoverlap,0.9827220042107212,0.6969800547000089,0.9109671916599884,0.6606863465669625,0.6611489795852908
openml_32,0.9215336878661774,0.36683947772657455,0.24212749615975424,-0.03974654377880184,
synth_mixed_shapes_2d,0.9341668605576713,-0.11635289151540736,0.035841810104563276,-0.3800253271422541,-0.1295939267946791
synth_ellipsoidal_d3_k3,0.9252440142650327,0.5186391761593458,0.5031156394166649,0.3369044755886919,0.2678110659662859
synth_swiss_roll_k3,0.7982408312052387,-0.04397260636188159,-0.07707765937756154,-0.132129352970729,0.27320679732310504
synth_circles_n0.15_f0.7,-0.02705481457431621,-0.6001049776922404,-0.2096579476861167,-0.1587087743854431,0.22827041264266903
synth_blobs_30d_10k,0.9825743798179913,0.8904692229350765,0.9581943395076852,0.778897525816629,0.8084715495853652
openml_40496,0.2775863933387917,0.6332918012218551,0.15781860446616475,0.6616842605975229,0.27293389125119755
openml_1462,0.7373191813312878,-0.22645775277354224,-0.13717861086282138,-0.16383616383616384,0.3295103957075788
synth_grid_d30_k6_lowoverlap,0.9849490574013359,0.7564987697718778,0.9113645133577357,0.7123178058313366,0.7338387612646073
openml_28,0.9045657489103861,-0.715545183456502,0.7720731232983274,-0.6350317645533515,-0.16112207659377245
synth_uniform_noise_10d,0.7145751035075708,0.3576950780312125,0.3591356542617047,0.0588235294117647,0.500984393757503
openml_1487,0.8595402721212952,-0.4697957155799748,0.7510009644328842,-0.587281176023614,-0.0550649014570888
synth_ellipsoidal_d20_k3,0.9661303891077221,0.7057590814716022,0.8044756180553442,0.5505611426227446,0.6732913727652177
openml_41143,0.7860653851785229,-0.8526856538490596,0.7236533957845435,-0.8616000604366549,-0.42037418353422396
openml_41027,0.6850305437177193,0.2711111111111111,-0.3807407407407407,0.5733333333333334,
synth_blobs_high_overlap,0.37571810502309677,0.5532441362552044,-0.2681394556311211,-0.1756530500363011,-0.6380932707648528
openml_4135,0.19478260869565217,-0.5591304347826086,-0.7573913043478261,0.7982608695652172,
synth_moons_noise0.15,0.4512576277487239,0.24237038030719696,-0.42752699711583597,-0.29083104165269297,-0.5160329825106681
openml_1049,0.5078305778195111,-0.6534700881989064,0.20848465498663044,-0.6261723270942251,-0.10947980686559682
synth_grid_d5_k6_medoverlap,0.9598390462900516,0.5720939610847867,0.7810080784319172,0.6096783949994958,0.5303933596446787
